"scenario","snp_id","chr","window_start","delta_score","term","slope","std.error","statistic","p.value","r_squared","fdr_p","significant","direction"
"erosion","Lcu.1GRN.Chr2:50744132","Lcu.1GRN.Chr2",50000001,0.443197367929634,"mean_year",-0.00102754022606522,0.000437770545565604,-2.34721188182641,0.0787548938466253,0.579363737138049,0.205456982018607,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:50744697","Lcu.1GRN.Chr2",50000001,0.443197367929634,"mean_year",-0.00102977843015506,0.000436596978386109,-2.35864763416746,0.0777775835457346,0.581730781099275,0.203467877397267,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:50744715","Lcu.1GRN.Chr2",50000001,0.443197367929634,"mean_year",-0.00102977843015506,0.000436596978386109,-2.35864763416746,0.0777775835457346,0.581730781099275,0.203467877397267,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:50744752","Lcu.1GRN.Chr2",50000001,0.443197367929634,"mean_year",-0.00102977843015506,0.000436596978386109,-2.35864763416746,0.0777775835457346,0.581730781099275,0.203467877397267,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:50746725","Lcu.1GRN.Chr2",50000001,0.443197367929634,"mean_year",-0.00102977843015506,0.000436596978386109,-2.35864763416746,0.0777775835457346,0.581730781099275,0.203467877397267,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:51056034","Lcu.1GRN.Chr2",50500001,0.421820053405192,"mean_year",-0.0010091037030772,0.000436607126849834,-2.31123965006707,0.0819206622561655,0.571818310967487,0.212544841524901,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:51056193","Lcu.1GRN.Chr2",50500001,0.421820053405192,"mean_year",-0.0010091037030772,0.000436607126849834,-2.31123965006707,0.0819206622561655,0.571818310967487,0.212544841524901,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:51091261","Lcu.1GRN.Chr2",50500001,0.421820053405192,"mean_year",-0.0012037765906197,0.000393190523176599,-3.06156054040761,0.0376011787146541,0.700893273473011,0.112655080216663,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:51091275","Lcu.1GRN.Chr2",50500001,0.421820053405192,"mean_year",-0.0012037765906197,0.000393190523176599,-3.06156054040761,0.0376011787146541,0.700893273473011,0.112655080216663,FALSE,"stable"
"erosion","Lcu.1GRN.Chr2:51091310","Lcu.1GRN.Chr2",50500001,0.421820053405192,"mean_year",-0.0012037765906197,0.000393190523176599,-3.06156054040761,0.0376011787146541,0.700893273473011,0.112655080216663,FALSE,"stable"
"erosion","Lcu.1GRN.Chr3:363932484","Lcu.1GRN.Chr3",363000001,0.434466254372907,"mean_year",0.0144599720713735,0.00726016236841419,1.99168714659641,0.117224408659066,0.497917467715834,0.271632581964955,FALSE,"increasing"
"erosion","Lcu.1GRN.Chr3:363932740","Lcu.1GRN.Chr3",363000001,0.434466254372907,"mean_year",0.0301137215219272,0.0144797121913902,2.07971823775842,0.106056752328293,0.519532675289988,0.265471340743672,FALSE,"increasing"
"erosion","Lcu.1GRN.Chr3:363938005","Lcu.1GRN.Chr3",363000001,0.434466254372907,"mean_year",0.0304253157648021,0.0141768512032857,2.14612647960575,0.0984084610198913,0.535200371971347,0.252019773397753,FALSE,"increasing"
