"seqnames","start","end","ID","Name","Description","z_score","clean_id","go_terms","TERM","ONTOLOGY","term_name","ontology_full"
"Lcu.1GRN.Chr3",140250874,140252611,"Lcu.1GRN.3g017790","Lcu.1GRN.3g017790","(S)-2-hydroxy-acid oxidase",4.97630671,"Lcu.1GRN.3g017790","GO:0003973","(S)-2-hydroxy-acid oxidase activity","MF","(S)-2-hydroxy-acid oxidase activity","Molecular Function"
"Lcu.1GRN.Chr3",140250874,140252611,"Lcu.1GRN.3g017790","Lcu.1GRN.3g017790","(S)-2-hydroxy-acid oxidase",4.97630671,"Lcu.1GRN.3g017790","GO:0005777","peroxisome","CC","peroxisome","Cellular Component"
"Lcu.1GRN.Chr3",140250874,140252611,"Lcu.1GRN.3g017790","Lcu.1GRN.3g017790","(S)-2-hydroxy-acid oxidase",4.97630671,"Lcu.1GRN.3g017790","GO:0016491","oxidoreductase activity","MF","oxidoreductase activity","Molecular Function"
"Lcu.1GRN.Chr2",515044045,515046881,"Lcu.1GRN.2g068630","Lcu.1GRN.2g068630","(S)-2-hydroxy-acid oxidase",4.597654275,"Lcu.1GRN.2g068630","GO:0003973","(S)-2-hydroxy-acid oxidase activity","MF","(S)-2-hydroxy-acid oxidase activity","Molecular Function"
"Lcu.1GRN.Chr2",515044045,515046881,"Lcu.1GRN.2g068630","Lcu.1GRN.2g068630","(S)-2-hydroxy-acid oxidase",4.597654275,"Lcu.1GRN.2g068630","GO:0005777","peroxisome","CC","peroxisome","Cellular Component"
"Lcu.1GRN.Chr2",515044045,515046881,"Lcu.1GRN.2g068630","Lcu.1GRN.2g068630","(S)-2-hydroxy-acid oxidase",4.597654275,"Lcu.1GRN.2g068630","GO:0016491","oxidoreductase activity","MF","oxidoreductase activity","Molecular Function"
"Lcu.1GRN.Chr2",515044045,515046881,"Lcu.1GRN.2g068630","Lcu.1GRN.2g068630","(S)-2-hydroxy-acid oxidase",4.597654275,"Lcu.1GRN.2g068630","GO:0010181","FMN binding","MF","FMN binding","Molecular Function"
"Lcu.1GRN.Chr7",649474601,649478881,"Lcu.1GRN.7g078450","Lcu.1GRN.7g078450","[Acyl-carrier-protein] S-malonyltransferase",4.96812802,"Lcu.1GRN.7g078450","GO:0016740","transferase activity","MF","transferase activity","Molecular Function"
"Lcu.1GRN.Chr7",649474601,649478881,"Lcu.1GRN.7g078450","Lcu.1GRN.7g078450","[Acyl-carrier-protein] S-malonyltransferase",4.96812802,"Lcu.1GRN.7g078450","GO:0004314","[acyl-carrier-protein] S-malonyltransferase activity","MF","[acyl-carrier-protein] S-malonyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr3",93484277,93484645,"Lcu.1GRN.3g012980","Lcu.1GRN.3g012980","1; 3-beta-glucan synthase",10.13067601,"Lcu.1GRN.3g012980","GO:0005886","plasma membrane","CC","plasma membrane","Cellular Component"
"Lcu.1GRN.Chr3",93484277,93484645,"Lcu.1GRN.3g012980","Lcu.1GRN.3g012980","1; 3-beta-glucan synthase",10.13067601,"Lcu.1GRN.3g012980","GO:0046527","glucosyltransferase activity","MF","glucosyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr3",122603308,122614526,"Lcu.1GRN.3g015870","Lcu.1GRN.3g015870","1; 3-beta-glucan synthase",5.687322797,"Lcu.1GRN.3g015870","GO:0003843","1,3-beta-D-glucan synthase activity","MF","1,3-beta-D-glucan synthase activity","Molecular Function"
"Lcu.1GRN.Chr3",122603308,122614526,"Lcu.1GRN.3g015870","Lcu.1GRN.3g015870","1; 3-beta-glucan synthase",5.687322797,"Lcu.1GRN.3g015870","GO:0005886","plasma membrane","CC","plasma membrane","Cellular Component"
"Lcu.1GRN.Chr3",122603308,122614526,"Lcu.1GRN.3g015870","Lcu.1GRN.3g015870","1; 3-beta-glucan synthase",5.687322797,"Lcu.1GRN.3g015870","GO:0046527","glucosyltransferase activity","MF","glucosyltransferase activity","Molecular Function"
"Lcu.1GRN.Chr3",122603308,122614526,"Lcu.1GRN.3g015870","Lcu.1GRN.3g015870","1; 3-beta-glucan synthase",5.687322797,"Lcu.1GRN.3g015870","GO:0000148","1,3-beta-D-glucan synthase complex","CC","1,3-beta-D-glucan synthase complex","Cellular Component"
"Lcu.1GRN.Chr3",122603308,122614526,"Lcu.1GRN.3g015870","Lcu.1GRN.3g015870","1; 3-beta-glucan synthase",5.687322797,"Lcu.1GRN.3g015870","GO:0006075","(1->3)-beta-D-glucan biosynthetic process","BP","(1->3)-beta-D-glucan biosynthetic process","Biological Process"
"Lcu.1GRN.Chr3",122603308,122614526,"Lcu.1GRN.3g015870","Lcu.1GRN.3g015870","1; 3-beta-glucan synthase",5.687322797,"Lcu.1GRN.3g015870","GO:0016020","membrane","CC","membrane","Cellular Component"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0003844","1,4-alpha-glucan branching enzyme activity","MF","1,4-alpha-glucan branching enzyme activity","Molecular Function"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0005978","glycogen biosynthetic process","BP","glycogen biosynthetic process","Biological Process"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0005737","cytoplasm","CC","cytoplasm","Cellular Component"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0005975","carbohydrate metabolic process","BP","carbohydrate metabolic process","Biological Process"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0003824","catalytic activity","MF","catalytic activity","Molecular Function"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0043169","cation binding","MF","cation binding","Molecular Function"
"Lcu.1GRN.Chr3",441446081,441451972,"Lcu.1GRN.3g066570","Lcu.1GRN.3g066570","1; 4-alpha-glucan branching enzyme",6.174021075,"Lcu.1GRN.3g066570","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","MF","hydrolase activity, hydrolyzing O-glycosyl compounds","Molecular Function"
"Lcu.1GRN.Chr6",387627256,387630579,"Lcu.1GRN.6g050270","Lcu.1GRN.6g050270","1; 4-dihydroxy-2-naphthoyl-CoA synthase;  peroxisomal",5.089966336,"Lcu.1GRN.6g050270","GO:0005829","cytosol","CC","cytosol","Cellular Component"
"Lcu.1GRN.Chr6",387627256,387630579,"Lcu.1GRN.6g050270","Lcu.1GRN.6g050270","1; 4-dihydroxy-2-naphthoyl-CoA synthase;  peroxisomal",5.089966336,"Lcu.1GRN.6g050270","GO:0008935","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","MF","1,4-dihydroxy-2-naphthoyl-CoA synthase activity","Molecular Function"
"Lcu.1GRN.Chr6",387627256,387630579,"Lcu.1GRN.6g050270","Lcu.1GRN.6g050270","1; 4-dihydroxy-2-naphthoyl-CoA synthase;  peroxisomal",5.089966336,"Lcu.1GRN.6g050270","GO:0009234","menaquinone biosynthetic process","BP","menaquinone biosynthetic process","Biological Process"
"Lcu.1GRN.Chr3",90570570,90577272,"Lcu.1GRN.3g012770","Lcu.1GRN.3g012770","12-oxophytodienoate reductase-like protein",9.033999304,"Lcu.1GRN.3g012770","GO:0010181","FMN binding","MF","FMN binding","Molecular Function"
"Lcu.1GRN.Chr3",90570570,90577272,"Lcu.1GRN.3g012770","Lcu.1GRN.3g012770","12-oxophytodienoate reductase-like protein",9.033999304,"Lcu.1GRN.3g012770","GO:0016491","oxidoreductase activity","MF","oxidoreductase activity","Molecular Function"
"Lcu.1GRN.Chr3",90570570,90577272,"Lcu.1GRN.3g012770","Lcu.1GRN.3g012770","12-oxophytodienoate reductase-like protein",9.033999304,"Lcu.1GRN.3g012770","GO:0005777","peroxisome","CC","peroxisome","Cellular Component"
"Lcu.1GRN.Chr3",90570570,90577272,"Lcu.1GRN.3g012770","Lcu.1GRN.3g012770","12-oxophytodienoate reductase-like protein",9.033999304,"Lcu.1GRN.3g012770","GO:0009695","jasmonic acid biosynthetic process","BP","jasmonic acid biosynthetic process","Biological Process"
"Lcu.1GRN.Chr3",90570570,90577272,"Lcu.1GRN.3g012770","Lcu.1GRN.3g012770","12-oxophytodienoate reductase-like protein",9.033999304,"Lcu.1GRN.3g012770","GO:0016629","12-oxophytodienoate reductase activity","MF","12-oxophytodienoate reductase activity","Molecular Function"
