"chr","start","stop","mid_pos_mb","n_snps","avg_Ho_act","avg_He_act","avg_PIC_act","avg_Ho_ldp","avg_He_ldp","avg_PIC_ldp","chr_num","delta_He"
"Lcu.1GRN.Chr4",334500001,335500001,335.000001,7,0.00687547746371276,0.024889391828681,0.024576871629906,0.0383462766344063,0.491196350624972,0.370505939788412,4,0.466306958796291
"Lcu.1GRN.Chr4",274000001,275000001,274.500001,9,0.0035746458896364,0.0281943458307091,0.0277938414532301,0.0575581174626433,0.489450939115331,0.369609240689842,4,0.461256593284622
"Lcu.1GRN.Chr4",273500001,274500001,274.000001,18,0.00448681416113971,0.0274310945323451,0.0270529519756443,0.0658823389253032,0.488003746957449,0.368722160350181,4,0.460572652425104
"Lcu.1GRN.Chr6",235500001,236500001,236.000001,5,0.00645754949360262,0.0358839582510618,0.0352381410828904,0.0404342133353027,0.48691324560012,0.368364976742802,6,0.451029287349059
"Lcu.1GRN.Chr4",307000001,308000001,307.500001,12,0.0116056197650126,0.0307630567448305,0.0302721823613204,0.0682842248198755,0.481108454386742,0.364874711215316,4,0.450345397641912
"Lcu.1GRN.Chr6",232500001,233500001,233.000001,9,0.0047566110184706,0.0373488629139548,0.0366499899045582,0.0784631295981396,0.486893611560762,0.368329504172633,6,0.449544748646807
"Lcu.1GRN.Chr6",233000001,234000001,233.500001,8,0.00671691399869768,0.036926477638502,0.0362412317856879,0.0514280506240348,0.48513254977145,0.367411413776459,6,0.448206072132948
"Lcu.1GRN.Chr6",232000001,233000001,232.500001,11,0.00584942054667775,0.0363436461065403,0.0356772842530498,0.0714848513412198,0.481910413594832,0.365722470990565,6,0.445566767488292
"Lcu.1GRN.Chr2",50000001,51000001,50.500001,5,0.0108578143360752,0.0320429259280227,0.0315295490505414,0.0350387962742705,0.475240293857656,0.361957824434093,2,0.443197367929634
"Lcu.1GRN.Chr4",273000001,274000001,273.500001,20,0.00403669521986905,0.0236490019105257,0.0233532483572671,0.0634122572065815,0.466740648046444,0.357165650873601,4,0.443091646135918
"Lcu.1GRN.Chr6",234500001,235500001,235.000001,7,0.00999718267270449,0.0324596830674416,0.0319238545373831,0.0605237865941331,0.475239090518411,0.362278587635758,6,0.442779407450969
"Lcu.1GRN.Chr6",231500001,232500001,232.000001,9,0.0071556807799692,0.0351287291190665,0.0345027931570365,0.0653959332829739,0.472978565100484,0.361089264316959,6,0.437849835981418
"Lcu.1GRN.Chr6",170500001,171500001,171.000001,9,0.0119090972980916,0.0442368773620559,0.0432209819884195,0.0611941754351379,0.478811174146811,0.364156449303555,6,0.434574296784755
"Lcu.1GRN.Chr3",363000001,364000001,363.500001,8,0.0140913403484561,0.0592081031929206,0.0574521730201495,0.0386707940098139,0.493674357565828,0.371790415365456,3,0.434466254372907
"Lcu.1GRN.Chr4",297500001,298500001,298.000001,11,0.00978843726816816,0.055097129593841,0.0535490339731448,0.0949278474820975,0.488085444717852,0.368729204081898,4,0.432988315124011
"Lcu.1GRN.Chr6",171000001,172000001,171.500001,41,0.00813374678190026,0.0403344851951914,0.0394884411127614,0.0554687062292594,0.473147887185114,0.360943132770795,6,0.432813401989922
"Lcu.1GRN.Chr3",363500001,364500001,364.000001,35,0.0108950302929118,0.0544685536081571,0.0529609591118454,0.0478626758496621,0.485907403154278,0.367635609896698,3,0.431438849546121
"Lcu.1GRN.Chr4",298000001,299000001,298.500001,7,0.00845278112830295,0.0530285498924595,0.0516178435136946,0.101998623099195,0.484292036155321,0.366662802195123,4,0.431263486262861
"Lcu.1GRN.Chr4",432000001,433000001,432.500001,22,0.000735837206510279,0.031040093839002,0.030556791000058,0.0752268469649484,0.462285361264399,0.355159738338666,4,0.431245267425397
"Lcu.1GRN.Chr6",176000001,177000001,176.500001,16,0.0221654639091319,0.0445550487966644,0.0435101267325036,0.0716706906860346,0.47334334785535,0.360776779495734,6,0.428788299058686
"Lcu.1GRN.Chr3",371000001,372000001,371.500001,14,0.0103645785808974,0.034062215017749,0.0333028410689361,0.139805134161866,0.462347285813248,0.354929949486054,3,0.428285070795499
"Lcu.1GRN.Chr6",171500001,172500001,172.000001,51,0.00864504632673149,0.0404076357509965,0.0395333114212223,0.0571701597219355,0.467728098012078,0.357718321186382,6,0.427320462261082
"Lcu.1GRN.Chr3",371500001,372500001,372.000001,12,0.00401788281294923,0.0277130609382942,0.0273265720500481,0.0876451018517075,0.45496385760484,0.35068233293571,3,0.427250796666546
"Lcu.1GRN.Chr6",176500001,177500001,177.000001,27,0.00877441181046494,0.0428244081475459,0.0418342575574996,0.0845659577672786,0.470042712258508,0.358839170209181,6,0.427218304110962
"Lcu.1GRN.Chr6",174500001,175500001,175.000001,17,0.00985177503211348,0.0384097358374489,0.03757958167321,0.101675313205573,0.465001662968047,0.356535003921099,6,0.426591927130598
"Lcu.1GRN.Chr6",168000001,169000001,168.500001,7,0.0116295368014373,0.0342635920434851,0.0336614936731308,0.0535326460228457,0.458243289474046,0.352172731842553,6,0.423979697430561
"Lcu.1GRN.Chr4",350500001,351500001,351.000001,23,0.00888037250405114,0.033571123925013,0.0330007283943284,0.0611643674042782,0.456755132097689,0.352229458734583,4,0.423184008172676
"Lcu.1GRN.Chr6",233500001,234500001,234.000001,12,0.0210526077224369,0.0387556670391126,0.0377241809566604,0.0864598553800901,0.461645145111376,0.352187224598617,6,0.422889478072263
"Lcu.1GRN.Chr6",174000001,175000001,174.500001,27,0.011359992582939,0.0472896709327957,0.0460971007629808,0.0647037786601195,0.469144966700546,0.358675812279042,6,0.42185529576775
"Lcu.1GRN.Chr2",50500001,51500001,51.000001,10,0.00756794460119268,0.0349613640172478,0.0343393218504554,0.0619769111155461,0.45678141742244,0.351886119937412,2,0.421820053405192
"Lcu.1GRN.Chr6",177000001,178000001,177.500001,35,0.00891197661596144,0.0457988641078997,0.0446634132672874,0.0775293280148089,0.467421212219433,0.357425550099809,6,0.421622348111533
"Lcu.1GRN.Chr3",370500001,371500001,371.000001,8,0.0147885789014821,0.0392025606965129,0.0381523623233506,0.166804507544793,0.458710235280977,0.352812043454824,3,0.419507674584464
"Lcu.1GRN.Chr6",234000001,235000001,234.500001,11,0.0234657792015046,0.0370201801768392,0.0360175774835598,0.0956723084653645,0.456340476329024,0.349173196215814,6,0.419320296152185
"Lcu.1GRN.Chr6",173500001,174500001,174.000001,54,0.0201004714428274,0.051691250351241,0.0493079372176146,0.0613762691896047,0.467209859793997,0.357370225962336,6,0.415518609442756
"Lcu.1GRN.Chr6",287000001,288000001,287.500001,19,0.00620714774315094,0.0489868557145743,0.0477652314394535,0.0458766981830675,0.46388644541949,0.356153607124322,6,0.414899589704916
"Lcu.1GRN.Chr4",290500001,291500001,291.000001,117,0.0162045930164412,0.06864208375054,0.0657720941445175,0.0680642270768183,0.482321371386314,0.365008415020246,4,0.413679287635774
"Lcu.1GRN.Chr2",175000001,176000001,175.500001,5,0,0.0819011124138522,0.078547216306539,0.0340810263460184,0.494494870513526,0.372230742340238,2,0.412593758099674
"Lcu.1GRN.Chr6",175500001,176500001,176.000001,37,0.0161302384059069,0.0570126222263071,0.0537696171421354,0.0515771413119119,0.469438664313895,0.357412502019856,6,0.412426042087588
"Lcu.1GRN.Chr3",372000001,373000001,372.500001,5,0.00538246919321088,0.0307562351269159,0.0302689018893638,0.0648412716642403,0.442895489452982,0.34345651634521,3,0.412139254326066
"Lcu.1GRN.Chr6",287500001,288500001,288.000001,19,0.00649159368823805,0.0487581879357382,0.0475516020374236,0.0426862066457319,0.459370508402519,0.353698726410756,6,0.410612320466781
"Lcu.1GRN.Chr6",175000001,176000001,175.500001,31,0.0114456732177643,0.0560606354848631,0.0525088286964937,0.0533393784934753,0.465717362801866,0.35523969155071,6,0.409656727317003
"Lcu.1GRN.Chr3",364000001,365000001,364.500001,39,0.0089482498519585,0.0539517608054759,0.0524753395887924,0.0473148922586366,0.463117488656729,0.353757883080808,3,0.409165727851253
"Lcu.1GRN.Chr6",172000001,173000001,172.500001,38,0.00961587632939466,0.0432902677087125,0.0422505309879353,0.0575589612502932,0.449892287617484,0.34701938039428,6,0.406602019908772
