"scenario","snp_id","chr","window_start","xpclr_score","z_score","term","slope","std.error","statistic","p.value","r_squared","fdr_p","significant","direction"
"adaptation","Lcu.1GRN.Chr6:398703086","Lcu.1GRN.Chr6",398250001,152.522975656258,7.04660490707424,"mean_year",-0.0332711202377212,0.00205135218204471,-16.2191166046182,8.45503943077606e-05,0.98502207802433,0.0176756264519298,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:398703312","Lcu.1GRN.Chr6",398250001,152.522975656258,7.04660490707424,"mean_year",-0.030110129301396,0.00123203737802406,-24.4392985460285,1.66327598239654e-05,0.993347517683195,0.0176756264519298,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:398705546","Lcu.1GRN.Chr6",398250001,152.522975656258,7.04660490707424,"mean_year",-0.0326821306860712,0.00177368175055395,-18.426152648785,5.10426042106167e-05,0.988355950492775,0.0176756264519298,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:398705550","Lcu.1GRN.Chr6",398250001,152.522975656258,7.04660490707424,"mean_year",-0.0326821306860712,0.00177368175055395,-18.426152648785,5.10426042106167e-05,0.988355950492775,0.0176756264519298,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:398706112","Lcu.1GRN.Chr6",398250001,152.522975656258,7.04660490707424,"mean_year",0.0167845102220234,0.00164783715305608,10.1857821271324,0.000523323442729002,0.962877084439874,0.0212596066654368,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:374199322","Lcu.1GRN.Chr6",373700001,174.419874176474,8.13255299041167,"mean_year",-0.023498877089842,0.00261833084148352,-8.97475472447469,0.000852989490917395,0.952688601712376,0.0218828642353669,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:893967","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00696987050334036,0.00128268890713676,-5.43379650713488,0.00556585111434186,0.880690128199122,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:893986","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00668031228609721,0.00118804728190988,-5.62293469949955,0.00491877796969099,0.887695323001314,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:894302","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00696987050334036,0.00128268890713676,-5.43379650713488,0.00556585111434186,0.880690128199122,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:894326","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00696987050334036,0.00128268890713676,-5.43379650713488,0.00556585111434186,0.880690128199122,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:894745","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00717208988615287,0.0012837138553552,-5.58698486912285,0.00503437310803511,0.886410104724194,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:895744","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00704151042636954,0.0011933167731638,-5.90078894785045,0.00412685312229476,0.896958498781591,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr2:895763","Lcu.1GRN.Chr2",750001,109.859447010238,4.93076292521619,"mean_year",-0.00713887230427817,0.0012595705650293,-5.66770334468091,0.00477933570330928,0.889266800393049,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr4:327611116","Lcu.1GRN.Chr4",327550001,114.288845217901,5.15043314424329,"mean_year",-0.00874642441604215,0.00143944411934184,-6.07625144909501,0.00370674812159643,0.902250276045208,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr4:327932617","Lcu.1GRN.Chr4",327750001,145.343561387985,6.6905512332209,"mean_year",-0.0262646246485989,0.00428376265202581,-6.13120445321082,0.00358609642879244,0.903826891591053,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:344036106","Lcu.1GRN.Chr6",343650001,172.865638031152,8.05547267871784,"mean_year",-0.0144474899139144,0.00210297148638254,-6.87003604540855,0.00235142961182702,0.921871025287923,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:373898080","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0251925303829591,0.00420641079129799,5.98907991465696,0.00390854270364846,0.899671620760539,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373902443","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0254138739631892,0.00409400537773941,6.20758196884002,0.00342631214068638,0.90595775026355,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373904680","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0253492436761832,0.00398695389051023,6.3580478661967,0.0031363551409315,0.909960147014891,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373905585","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0252618413932345,0.00395081636069792,6.39408139657799,0.00307145040252998,0.910881932923386,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373965109","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",-0.0233789792741021,0.00308524195645125,-7.5776809741669,0.00162627523553228,0.934875957935985,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:373966067","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",-0.0231635266963163,0.0029729804237354,-7.79134854416987,0.00146369389958335,0.938181082330141,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:373967563","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0253886157208548,0.00401129192910491,6.32928646669704,0.00318937525787796,0.909214433536891,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373967672","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",-0.0231690961466286,0.00345724759090024,-6.70160164623776,0.00257971001656051,0.918219582450058,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:373968790","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0257612519340114,0.00384643315080295,6.69743914011185,0.00258568943485255,0.918126222038425,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373968795","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",-0.0232401845606188,0.00348640841002779,-6.66593864728361,0.00263149769852369,0.917414645746107,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:373994035","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0254936989896335,0.00410595933993375,6.20895066877228,0.00342352948042519,0.905995309877609,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373994197","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0254936989896335,0.00410595933993375,6.20895066877228,0.00342352948042519,0.905995309877609,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373998109","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",-0.0232694899406485,0.0029014459607333,-8.01996323749125,0.00131140512955643,0.941451828091479,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:373998640","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0254521396091469,0.00407725293348757,6.24247257267304,0.00335623623738496,0.90690847090315,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:373998913","Lcu.1GRN.Chr6",373500001,203.409765372573,9.57026878160007,"mean_year",0.0254521396091469,0.00407725293348757,6.24247257267304,0.00335623623738496,0.90690847090315,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:374001523","Lcu.1GRN.Chr6",373550001,202.438404165807,9.52209539121137,"mean_year",0.0256320854858059,0.00415939547518967,6.16245452943787,0.00351963629344421,0.904707101878338,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:374101547","Lcu.1GRN.Chr6",373650001,175.739804797477,8.19801322564511,"mean_year",0.0264424514217068,0.00418766679795338,6.31436374895679,0.00321731885150666,0.908823990398898,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:374101687","Lcu.1GRN.Chr6",373650001,175.739804797477,8.19801322564511,"mean_year",-0.0231363898550814,0.00300954104301885,-7.68768045504821,0.0015399346892746,0.93660899061032,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:374119805","Lcu.1GRN.Chr6",373650001,175.739804797477,8.19801322564511,"mean_year",-0.0235940261977982,0.00267002520169301,-8.83663052425037,0.000905329982562566,0.951270641784501,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:374120060","Lcu.1GRN.Chr6",373650001,175.739804797477,8.19801322564511,"mean_year",0.0258564010419676,0.00390763744390182,6.61688844299478,0.00270483499300095,0.916288592232742,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:374120841","Lcu.1GRN.Chr6",373650001,175.739804797477,8.19801322564511,"mean_year",0.0259376469778322,0.00385649364930423,6.72570716731552,0.00254541558407834,0.918757207721686,0.0224806212148826,TRUE,"increasing"
"adaptation","Lcu.1GRN.Chr6:374183284","Lcu.1GRN.Chr6",373700001,174.419874176474,8.13255299041167,"mean_year",-0.0233963768498482,0.00288455477365934,-8.11091439950978,0.00125630527758088,0.942682679082492,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:374183870","Lcu.1GRN.Chr6",373700001,174.419874176474,8.13255299041167,"mean_year",-0.0233001340739845,0.0028256739036536,-8.24586801890247,0.00117972381952713,0.94444007634266,0.0224806212148826,TRUE,"decreasing"
"adaptation","Lcu.1GRN.Chr6:374191312","Lcu.1GRN.Chr6",373700001,174.419874176474,8.13255299041167,"mean_year",0.0259515501499238,0.00397103039567732,6.53521820889949,0.00283261605475844,0.914363540158336,0.0224806212148826,TRUE,"increasing"
